iter	Passed	Remaining
0	1	167
1	3	152
2	4	144
3	5	140
4	7	141
5	11	173
6	13	178
7	14	169
8	16	162
9	17	157
10	18	153
11	20	150
12	21	146
13	23	145
14	26	152
15	28	149
16	30	148
17	31	145
18	33	142
19	34	139
20	36	135
21	37	132
22	41	140
23	43	137
24	45	136
25	47	133
26	49	132
27	50	130
28	52	128
29	56	131
30	58	129
31	60	127
32	61	125
33	63	123
34	64	120
35	66	117
36	67	115
37	70	115
38	72	113
39	73	110
40	74	107
41	75	104
42	76	101
43	78	99
44	79	97
45	80	94
46	81	92
47	84	91
48	85	89
49	86	86
50	87	84
51	89	82
52	90	80
53	91	78
54	92	75
55	93	73
56	95	71
57	96	69
58	98	68
59	100	66
60	101	64
61	102	62
62	103	60
63	105	59
64	106	57
65	107	55
66	108	53
67	109	51
68	110	49
69	112	48
70	113	46
71	114	44
72	116	43
73	118	41
74	119	39
75	121	38
76	123	36
77	124	35
78	125	33
79	128	32
80	130	30
81	131	28
82	132	27
83	133	25
84	134	23
85	135	22
86	136	20
87	138	18
88	139	17
89	140	15
90	142	14
91	143	12
92	145	10
93	146	9
94	147	7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
