iter	Passed	Remaining
0	159	159142
1	160	80116
2	161	53828
3	163	40667
4	164	32787
5	166	27578
6	168	23908
7	169	21077
8	171	18877
9	172	17102
10	174	15662
11	175	14451
12	176	13431
13	178	12571
14	182	11977
15	183	11309
16	185	10708
17	186	10172
18	187	9693
19	189	9269
20	190	8887
21	192	8537
22	197	8374
23	198	8081
24	200	7804
25	201	7549
26	202	7309
27	204	7085
28	205	6883
29	207	6694
30	210	6592
31	212	6425
32	213	6265
33	215	6114
34	216	5970
35	217	5837
36	219	5708
37	220	5585
38	222	5471
39	226	5442
40	228	5340
41	229	5241
42	231	5141
43	232	5048
44	233	4960
45	235	4876
46	236	4800
47	240	4767
48	241	4688
49	242	4609
50	243	4534
51	244	4461
52	245	4393
53	247	4327
54	248	4263
55	249	4200
56	250	4139
57	254	4132
58	255	4080
59	256	4025
60	258	3972
61	259	3920
62	260	3870
63	261	3820
64	262	3774
65	263	3727
66	264	3682
67	265	3637
68	269	3630
69	270	3589
70	271	3549
71	272	3508
72	273	3470
73	274	3432
74	275	3395
75	276	3360
76	277	3325
77	278	3291
78	279	3258
79	284	3266
80	285	3238
81	286	3210
82	287	3176
83	288	3149
84	290	3123
85	291	3097
86	292	3070
87	293	3045
88	297	3046
89	299	3024
90	300	3001
91	301	2979
92	303	2956
93	304	2934
94	305	2912
95	307	2891
96	308	2872
97	310	2856
98	313	2849
99	314	2830
100	315	2810
101	317	2791
102	318	2772
103	319	2753
104	320	2735
105	322	2717
106	326	2723
107	327	2706
108	329	2690
109	330	2672
110	331	2656
111	333	2640
112	334	2625
113	335	2610
114	337	2595
115	342	2608
116	343	2591
117	344	2578
118	346	2565
119	347	2551
120	349	2537
121	350	2521
122	351	2506
123	353	2494
124	356	2495
125	357	2481
126	358	2466
127	360	2452
128	361	2440
129	363	2433
130	365	2422
131	371	2444
132	373	2434
133	375	2428
134	377	2419
135	379	2409
136	380	2397
137	382	2389
138	387	2400
139	389	2391
140	390	2381
141	392	2369
142	393	2359
143	395	2350
144	401	2366
145	403	2357
146	404	2349
147	406	2339
148	408	2334
149	410	2328
150	414	2330
151	416	2322
152	417	2312
153	419	2303
154	420	2294
155	422	2285
156	424	2277
157	426	2274
158	431	2283
159	433	2274
160	435	2271
161	437	2262
162	438	2252
163	439	2242
164	440	2231
165	443	2228
166	445	2221
167	446	2213
168	448	2203
169	449	2193
170	450	2183
171	452	2176
172	453	2167
173	454	2158
174	455	2148
175	460	2157
176	461	2147
177	462	2137
178	464	2128
179	465	2118
180	466	2109
181	467	2099
182	468	2090
183	469	2080
184	470	2071
185	473	2071
186	474	2064
187	475	2055
188	476	2046
189	478	2037
190	478	2028
191	480	2020
192	481	2011
193	482	2003
194	483	1994
195	484	1986
196	485	1978
197	489	1984
198	491	1977
199	492	1968
200	493	1961
201	494	1952
202	495	1945
203	496	1936
204	497	1928
205	498	1921
206	499	1913
207	501	1907
208	502	1903
209	503	1895
210	504	1887
211	505	1880
212	506	1873
213	507	1865
214	508	1858
215	509	1851
216	511	1843
217	511	1836
218	513	1829
219	518	1837
220	519	1832
221	521	1826
222	522	1820
223	525	1820
224	526	1813
225	527	1806
226	529	1801
227	531	1799
228	532	1793
229	533	1787
230	534	1780
231	535	1774
232	537	1767
233	538	1761
234	539	1755
235	540	1748
236	541	1742
237	542	1736
238	546	1740
239	547	1734
240	548	1728
241	549	1722
242	551	1716
243	552	1710
244	553	1704
245	554	1698
246	555	1692
247	556	1686
248	559	1688
249	561	1683
250	562	1677
251	563	1671
252	564	1665
253	565	1660
254	566	1654
255	567	1648
256	568	1643
257	569	1637
258	570	1633
259	574	1634
260	576	1631
261	577	1626
262	578	1620
263	579	1615
264	580	1610
265	581	1604
266	582	1599
267	583	1593
268	584	1588
269	585	1583
270	589	1584
271	590	1580
272	591	1574
273	592	1569
274	593	1564
275	594	1559
276	595	1554
277	596	1549
278	597	1544
279	598	1539
280	600	1535
281	604	1539
282	606	1535
283	607	1531
284	608	1527
285	610	1523
286	611	1519
287	612	1514
288	614	1510
289	615	1506
290	619	1509
291	620	1505
292	622	1501
293	623	1497
294	624	1493
295	626	1489
296	627	1485
297	628	1481
298	630	1477
299	633	1478
300	635	1475
301	636	1472
302	638	1468
303	639	1464
304	641	1460
305	642	1457
306	644	1455
307	650	1462
308	652	1459
309	654	1456
310	655	1452
311	656	1448
312	658	1444
313	659	1440
314	660	1436
315	665	1440
316	667	1437
317	668	1433
318	669	1429
319	670	1425
320	672	1421
321	673	1418
322	674	1414
323	676	1410
324	679	1411
325	681	1408
326	682	1404
327	683	1401
328	685	1397
329	686	1393
330	687	1390
331	689	1386
332	690	1383
333	695	1386
334	696	1382
335	698	1379
336	699	1376
337	700	1372
338	702	1369
339	703	1365
340	704	1361
341	708	1363
342	710	1360
343	711	1357
344	713	1353
345	714	1349
346	715	1346
347	716	1342
348	718	1339
349	719	1336
350	724	1339
351	725	1336
352	727	1333
353	728	1329
354	730	1326
355	731	1322
356	732	1319
357	734	1316
358	735	1313
359	739	1314
360	741	1312
361	742	1308
362	744	1305
363	745	1302
364	746	1299
365	748	1296
366	749	1292
367	753	1293
368	755	1291
369	756	1288
370	757	1285
371	759	1281
372	760	1277
373	761	1274
374	762	1270
375	763	1267
376	764	1263
377	770	1267
378	773	1267
379	775	1264
380	780	1268
381	786	1273
382	788	1269
383	789	1266
384	791	1264
385	792	1261
386	793	1257
387	795	1254
388	796	1250
389	800	1252
390	801	1248
391	802	1245
392	804	1242
393	805	1238
394	806	1235
395	807	1232
396	809	1228
397	810	1225
398	812	1223
399	815	1223
400	816	1220
401	818	1217
402	819	1214
403	821	1211
404	822	1208
405	823	1204
406	824	1201
407	825	1197
408	830	1199
409	831	1196
410	832	1193
411	833	1189
412	834	1186
413	835	1183
414	837	1179
415	838	1176
416	839	1173
417	840	1170
418	845	1172
419	847	1169
420	848	1166
421	849	1164
422	851	1161
423	852	1158
424	853	1155
425	854	1151
426	858	1152
427	860	1149
428	861	1146
429	862	1143
430	863	1140
431	864	1137
432	866	1134
433	867	1131
434	870	1130
435	891	1153
436	893	1151
437	897	1151
438	901	1151
439	910	1159
440	916	1161
441	922	1164
442	938	1180
443	941	1178
444	946	1180
445	949	1179
446	952	1178
447	973	1199
448	977	1200
449	980	1198
450	984	1198
451	987	1197
452	993	1199
453	995	1196
454	996	1193
455	998	1190
456	999	1187
457	1001	1184
458	1003	1182
459	1036	1216
460	1042	1219
461	1050	1222
462	1052	1220
463	1058	1223
464	1060	1220
465	1062	1217
466	1065	1215
467	1068	1214
468	1076	1218
469	1077	1215
470	1080	1213
471	1082	1210
472	1088	1212
473	1090	1210
474	1094	1209
475	1096	1206
476	1098	1203
477	1103	1204
478	1105	1202
479	1107	1200
480	1110	1197
481	1112	1195
482	1117	1195
483	1119	1193
484	1123	1192
485	1125	1190
486	1127	1187
